item_id,failure_mode,provider,exact_match,abstained_not_in_context,judge_score,judge_error,error
v01,easy,openai,0,0,2,,
v01,easy,anthropic,0,0,2,,
v01,easy,gemini,0,0,2,,
v01,easy,llama,0,0,2,,
v02,easy,openai,0,0,2,,
v02,easy,anthropic,0,0,2,,
v02,easy,gemini,0,0,2,,
v02,easy,llama,1,0,2,,
v03,easy,openai,0,0,2,,
v03,easy,anthropic,0,0,2,,
v03,easy,gemini,0,0,2,,
v03,easy,llama,0,0,2,,
v04,easy,openai,1,0,2,,
v04,easy,anthropic,0,0,2,,
v04,easy,gemini,1,0,2,,
v04,easy,llama,1,0,2,,
v05,easy,openai,1,0,2,,
v05,easy,anthropic,0,0,1,,
v05,easy,gemini,0,0,2,,
v05,easy,llama,1,0,2,,
v06,easy,openai,0,0,2,,
v06,easy,anthropic,0,0,2,,
v06,easy,gemini,0,0,2,,
v06,easy,llama,0,0,2,,
v07,negation,openai,0,0,2,,
v07,negation,anthropic,0,0,2,,
v07,negation,gemini,0,0,2,,
v07,negation,llama,0,0,2,,
v08,negation,openai,0,0,2,,
v08,negation,anthropic,0,0,2,,
v08,negation,gemini,0,0,2,,
v08,negation,llama,0,0,2,,
v09,negation,openai,0,0,2,,
v09,negation,anthropic,0,0,2,,
v09,negation,gemini,0,0,2,,
v09,negation,llama,0,0,2,,
v10,numerical,openai,0,0,2,,
v10,numerical,anthropic,0,0,2,,
v10,numerical,gemini,0,0,2,,
v10,numerical,llama,0,0,2,,
v11,numerical,openai,0,0,2,,
v11,numerical,anthropic,0,0,2,,
v11,numerical,gemini,0,0,2,,
v11,numerical,llama,0,0,2,,
v12,numerical,openai,0,0,2,,
v12,numerical,anthropic,0,0,2,,
v12,numerical,gemini,0,0,2,,
v12,numerical,llama,1,0,2,,
v13,numerical,openai,0,0,2,,
v13,numerical,anthropic,0,0,2,,
v13,numerical,gemini,0,0,2,,
v13,numerical,llama,0,0,2,,
v14,numerical,openai,0,0,2,,
v14,numerical,anthropic,0,0,2,,
v14,numerical,gemini,0,0,2,,
v14,numerical,llama,0,0,2,,
v15,abstention,openai,0,0,2,,
v15,abstention,anthropic,0,0,2,,
v15,abstention,gemini,0,0,2,,
v15,abstention,llama,0,1,2,,
v16,abstention,openai,0,0,2,,
v16,abstention,anthropic,0,0,2,,
v16,abstention,gemini,0,0,2,,
v16,abstention,llama,0,1,0,,
v17,abstention,openai,0,0,2,,
v17,abstention,anthropic,0,0,0,,
v17,abstention,gemini,0,0,2,,
v17,abstention,llama,0,1,2,,
v18,abstention,openai,0,0,2,,
v18,abstention,anthropic,0,0,2,,
v18,abstention,gemini,0,0,2,,
v18,abstention,llama,0,1,2,,
v19,knowledge,openai,0,0,2,,
v19,knowledge,anthropic,0,0,2,,
v19,knowledge,gemini,0,0,2,,
v19,knowledge,llama,0,0,2,,
v20,knowledge,openai,0,0,2,,
v20,knowledge,anthropic,0,0,2,,
v20,knowledge,gemini,0,0,0,,
v20,knowledge,llama,0,1,0,,
v21,inference,openai,0,1,0,,
v21,inference,anthropic,0,0,2,,
v21,inference,gemini,0,0,0,,
v21,inference,llama,0,0,0,,
v22,inference,openai,0,0,2,,
v22,inference,anthropic,0,0,2,,
v22,inference,gemini,0,0,1,,
v22,inference,llama,0,0,1,,
v23,confirmation,openai,0,1,2,,
v23,confirmation,anthropic,0,0,2,,
v23,confirmation,gemini,0,0,2,,
v23,confirmation,llama,0,1,2,,
v24,confirmation,openai,0,0,2,,
v24,confirmation,anthropic,0,0,1,,
v24,confirmation,gemini,0,0,0,,
v24,confirmation,llama,0,0,0,,
v25,red_herring,openai,0,0,2,,
v25,red_herring,anthropic,0,0,1,,
v25,red_herring,gemini,0,0,1,,
v25,red_herring,llama,0,0,1,,
v26,red_herring,openai,0,0,1,,
v26,red_herring,anthropic,0,0,1,,
v26,red_herring,gemini,0,0,1,,
v26,red_herring,llama,0,0,0,,
v27,coherence,openai,0,0,2,,
v27,coherence,anthropic,0,0,1,,
v27,coherence,gemini,0,0,1,,
v27,coherence,llama,0,1,0,,
v28,coherence,openai,0,0,2,,
v28,coherence,anthropic,0,0,1,,
v28,coherence,gemini,0,0,2,,
v28,coherence,llama,0,0,1,,
